Top 100 häufigste Wörter:

ES: 59 Vorkommen, 5 Punkte
INN: 15 Vorkommen, 7 Punkte
IC: 15 Vorkommen, 6 Punkte
DU: 14 Vorkommen, 8 Punkte
ENG: 14 Vorkommen, 8 Punkte
TUE: 14 Vorkommen, 8 Punkte
TUS: 14 Vorkommen, 8 Punkte
AM: 14 Vorkommen, 7 Punkte
BR: 14 Vorkommen, 7 Punkte
ESA: 14 Vorkommen, 7 Punkte
INS: 14 Vorkommen, 7 Punkte
MA: 14 Vorkommen, 7 Punkte
RAN: 14 Vorkommen, 7 Punkte
RB: 14 Vorkommen, 7 Punkte
SIR: 14 Vorkommen, 7 Punkte
II: 14 Vorkommen, 5 Punkte
HD: 13 Vorkommen, 8 Punkte
HU: 13 Vorkommen, 7 Punkte
IM: 13 Vorkommen, 7 Punkte
MI: 13 Vorkommen, 7 Punkte
AH: 13 Vorkommen, 6 Punkte
HA: 13 Vorkommen, 6 Punkte




Top 100 häufigste Wörter:

NEE: 34 Vorkommen, 7 Punkte
NET: 27 Vorkommen, 7 Punkte
SEE: 25 Vorkommen, 7 Punkte
TEE: 25 Vorkommen, 7 Punkte
EIN: 23 Vorkommen, 7 Punkte
NIE: 23 Vorkommen, 7 Punkte
DEN: 22 Vorkommen, 9 Punkte
REN: 22 Vorkommen, 7 Punkte
IRE: 20 Vorkommen, 7 Punkte
DES: 18 Vorkommen, 9 Punkte
SED: 18 Vorkommen, 9 Punkte
SEI: 18 Vorkommen, 7 Punkte
SEEN: 17 Vorkommen, 10 Punkte
NEU: 17 Vorkommen, 8 Punkte
EIS: 17 Vorkommen, 7 Punkte
ETA: 17 Vorkommen, 7 Punkte
SIE: 17 Vorkommen, 7 Punkte
EEG: 16 Vorkommen, 8 Punkte
ETH: 16 Vorkommen, 8 Punkte
LEE: 16 Vorkommen, 8 Punkte
ENDE: 15 Vorkommen, 12 Punkte
ENTE: 15 Vorkommen, 10 Punkte
NEC: 15 Vorkommen, 8 Punkte
EINE: 14 Vorkommen, 10 Punkte
DIE: 14 Vorkommen, 9 Punkte
EID: 14 Vorkommen, 9 Punkte
TED: 14 Vorkommen, 9 Punkte
GEN: 14 Vorkommen, 8 Punkte
IEA: 14 Vorkommen, 7 Punkte
TEEN: 13 Vorkommen, 10 Punkte
EHE: 13 Vorkommen, 8 Punkte
ENG: 13 Vorkommen, 8 Punkte
NIL: 13 Vorkommen, 8 Punkte
ANN: 13 Vorkommen, 7 Punkte
SIR: 13 Vorkommen, 7 Punkte
ADE: 12 Vorkommen, 9 Punkte
DNA: 12 Vorkommen, 9 Punkte
IDE: 12 Vorkommen, 9 Punkte
NDA: 12 Vorkommen, 9 Punkte
AEH: 12 Vorkommen, 8 Punkte
ANS: 12 Vorkommen, 7 Punkte
IAN: 12 Vorkommen, 7 Punkte
INA: 12 Vorkommen, 7 Punkte
ISS: 12 Vorkommen, 7 Punkte
SAN: 12 Vorkommen, 7 Punkte
SRI: 12 Vorkommen, 7 Punkte
TAN: 12 Vorkommen, 7 Punkte
EISE: 11 Vorkommen, 10 Punkte
REET: 11 Vorkommen, 10 Punkte
TEER: 11 Vorkommen, 10 Punkte
DEA: 11 Vorkommen, 9 Punkte
DER: 11 Vorkommen, 9 Punkte
KEN: 11 Vorkommen, 9 Punkte
AUE: 11 Vorkommen, 8 Punkte
HER: 11 Vorkommen, 8 Punkte
INH: 11 Vorkommen, 8 Punkte
LEA: 11 Vorkommen, 8 Punkte
REH: 11 Vorkommen, 8 Punkte
SUN: 11 Vorkommen, 8 Punkte
TEL: 11 Vorkommen, 8 Punkte
ESA: 11 Vorkommen, 7 Punkte
IST: 11 Vorkommen, 7 Punkte
RAT: 11 Vorkommen, 7 Punkte
RNA: 11 Vorkommen, 7 Punkte
NEIL: 10 Vorkommen, 11 Punkte
NEUN: 10 Vorkommen, 11 Punkte
EIER: 10 Vorkommen, 10 Punkte
LED: 10 Vorkommen, 10 Punkte
NENA: 10 Vorkommen, 10 Punkte
BEN: 10 Vorkommen, 9 Punkte
DIN: 10 Vorkommen, 9 Punkte
IDA: 10 Vorkommen, 9 Punkte
AEG: 10 Vorkommen, 8 Punkte
ELI: 10 Vorkommen, 8 Punkte
NAH: 10 Vorkommen, 8 Punkte
NUR: 10 Vorkommen, 8 Punkte
RUN: 10 Vorkommen, 8 Punkte
SEH: 10 Vorkommen, 8 Punkte
SSH: 10 Vorkommen, 8 Punkte
ASI: 10 Vorkommen, 7 Punkte
ASS: 10 Vorkommen, 7 Punkte
INN: 10 Vorkommen, 7 Punkte
INS: 10 Vorkommen, 7 Punkte
NSA: 10 Vorkommen, 7 Punkte
RAN: 10 Vorkommen, 7 Punkte
RSS: 10 Vorkommen, 7 Punkte
SEIEN: 9 Vorkommen, 14 Punkte
AESE: 9 Vorkommen, 10 Punkte
ANTE: 9 Vorkommen, 10 Punkte
INES: 9 Vorkommen, 10 Punkte
IREN: 9 Vorkommen, 10 Punkte
NEST: 9 Vorkommen, 10 Punkte
SEIN: 9 Vorkommen, 10 Punkte
EAU: 9 Vorkommen, 8 Punkte
GAS: 9 Vorkommen, 8 Punkte
IEC: 9 Vorkommen, 8 Punkte
NUN: 9 Vorkommen, 8 Punkte
SAG: 9 Vorkommen, 8 Punkte
SET: 9 Vorkommen, 7 Punkte
TNT: 9 Vorkommen, 7 Punkte




Top 100 häufigste Wörter:

TEEN: 18 Vorkommen, 10 Punkte
EINE: 16 Vorkommen, 10 Punkte
EDEN: 14 Vorkommen, 12 Punkte
REET: 14 Vorkommen, 10 Punkte
TEER: 14 Vorkommen, 10 Punkte
REES: 13 Vorkommen, 10 Punkte
SEEN: 13 Vorkommen, 10 Punkte
ERDE: 12 Vorkommen, 12 Punkte
EHEN: 12 Vorkommen, 11 Punkte
EIER: 12 Vorkommen, 10 Punkte
EISE: 12 Vorkommen, 10 Punkte
ENTE: 12 Vorkommen, 10 Punkte
ESTE: 12 Vorkommen, 10 Punkte
REIN: 12 Vorkommen, 10 Punkte
RENS: 12 Vorkommen, 10 Punkte
REED: 11 Vorkommen, 12 Punkte
EGER: 11 Vorkommen, 11 Punkte
REGE: 11 Vorkommen, 11 Punkte
INNE: 11 Vorkommen, 10 Punkte
NEIN: 11 Vorkommen, 10 Punkte
TEES: 11 Vorkommen, 10 Punkte
REINE: 10 Vorkommen, 14 Punkte
DENN: 10 Vorkommen, 12 Punkte
EDER: 10 Vorkommen, 12 Punkte
ENDE: 10 Vorkommen, 12 Punkte
REDE: 10 Vorkommen, 12 Punkte
TEDS: 10 Vorkommen, 12 Punkte
NAGE: 10 Vorkommen, 11 Punkte
SEHE: 10 Vorkommen, 11 Punkte
AESE: 10 Vorkommen, 10 Punkte
EINT: 10 Vorkommen, 10 Punkte
IEEE: 10 Vorkommen, 10 Punkte
IREN: 10 Vorkommen, 10 Punkte
NIET: 10 Vorkommen, 10 Punkte
REIS: 10 Vorkommen, 10 Punkte
REST: 10 Vorkommen, 10 Punkte
TEIN: 10 Vorkommen, 10 Punkte
TEERE: 9 Vorkommen, 14 Punkte
EDIE: 9 Vorkommen, 12 Punkte
EIDE: 9 Vorkommen, 12 Punkte
EHRE: 9 Vorkommen, 11 Punkte
GENE: 9 Vorkommen, 11 Punkte
REHS: 9 Vorkommen, 11 Punkte
ENNS: 9 Vorkommen, 10 Punkte
INES: 9 Vorkommen, 10 Punkte
NEST: 9 Vorkommen, 10 Punkte
RENN: 9 Vorkommen, 10 Punkte
SAEE: 9 Vorkommen, 10 Punkte
NEGER: 8 Vorkommen, 15 Punkte
REGEN: 8 Vorkommen, 15 Punkte
TEERT: 8 Vorkommen, 14 Punkte
TRETE: 8 Vorkommen, 14 Punkte
IDEE: 8 Vorkommen, 12 Punkte
MEER: 8 Vorkommen, 12 Punkte
RIED: 8 Vorkommen, 12 Punkte
EHER: 8 Vorkommen, 11 Punkte
EURE: 8 Vorkommen, 11 Punkte
HEER: 8 Vorkommen, 11 Punkte
HIER: 8 Vorkommen, 11 Punkte
REHE: 8 Vorkommen, 11 Punkte
REIH: 8 Vorkommen, 11 Punkte
SEHR: 8 Vorkommen, 11 Punkte
ERIS: 8 Vorkommen, 10 Punkte
RIET: 8 Vorkommen, 10 Punkte
SEAN: 8 Vorkommen, 10 Punkte
SETS: 8 Vorkommen, 10 Punkte
SIRE: 8 Vorkommen, 10 Punkte
EDENS: 7 Vorkommen, 16 Punkte
ELISE: 7 Vorkommen, 15 Punkte
GREEN: 7 Vorkommen, 15 Punkte
REIHE: 7 Vorkommen, 15 Punkte
ENTER: 7 Vorkommen, 14 Punkte
ESTER: 7 Vorkommen, 14 Punkte
TEENS: 7 Vorkommen, 14 Punkte
HEDI: 7 Vorkommen, 13 Punkte
DIES: 7 Vorkommen, 12 Punkte
GEHE: 7 Vorkommen, 12 Punkte
HEGE: 7 Vorkommen, 12 Punkte
MINE: 7 Vorkommen, 12 Punkte
RIND: 7 Vorkommen, 12 Punkte
SEID: 7 Vorkommen, 12 Punkte
ELIS: 7 Vorkommen, 11 Punkte
ELSE: 7 Vorkommen, 11 Punkte
ENGE: 7 Vorkommen, 11 Punkte
GERT: 7 Vorkommen, 11 Punkte
HEIN: 7 Vorkommen, 11 Punkte
IHRE: 7 Vorkommen, 11 Punkte
LEIS: 7 Vorkommen, 11 Punkte
LISE: 7 Vorkommen, 11 Punkte
RUNE: 7 Vorkommen, 11 Punkte
SIEH: 7 Vorkommen, 11 Punkte
SIEL: 7 Vorkommen, 11 Punkte
USER: 7 Vorkommen, 11 Punkte
ARIE: 7 Vorkommen, 10 Punkte
EINS: 7 Vorkommen, 10 Punkte
SEES: 7 Vorkommen, 10 Punkte
TEST: 7 Vorkommen, 10 Punkte
ERDEN: 6 Vorkommen, 16 Punkte
RESTE: 6 Vorkommen, 14 Punkte
NERD: 6 Vorkommen, 12 Punkte
